Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pyrenophora tritici-repentis strain SW21-8 contig00008,594,1125,100%,0.0,88.02,261182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYQ010000008.1?report=genbank&log$=nucltop&blast_rank=23&RID=YYXWE4EY014"",""JAMBYQ010000008.1"")"
Pyrenophora tritici-repentis strain SW7-5 contig00021,594,1125,100%,0.0,88.02,175414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYP010000021.1?report=genbank&log$=nucltop&blast_rank=24&RID=YYXWE4EY014"",""JAMBYP010000021.1"")"
Pyrenophora tritici-repentis strain 86-124 contig00036,594,1125,100%,0.0,88.02,121615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYO010000036.1?report=genbank&log$=nucltop&blast_rank=25&RID=YYXWE4EY014"",""JAMBYO010000036.1"")"
Pyrenophora tritici-repentis strain AB88-2 contig00199,594,1125,100%,0.0,88.02,54153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYN010000199.1?report=genbank&log$=nucltop&blast_rank=26&RID=YYXWE4EY014"",""JAMBYN010000199.1"")"
Pyrenophora tritici-repentis strain L2-1 contig00037,594,1125,100%,0.0,88.02,146021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYM010000037.1?report=genbank&log$=nucltop&blast_rank=27&RID=YYXWE4EY014"",""JAMBYM010000037.1"")"
Pyrenophora tritici-repentis strain SW1-2 contig00060,594,1125,100%,0.0,88.02,114354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYL010000060.1?report=genbank&log$=nucltop&blast_rank=28&RID=YYXWE4EY014"",""JAMBYL010000060.1"")"
Pyrenophora tritici-repentis strain SW15-1 contig00092,594,1125,100%,0.0,88.02,95341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYK010000092.1?report=genbank&log$=nucltop&blast_rank=29&RID=YYXWE4EY014"",""JAMBYK010000092.1"")"
Pyrenophora tritici-repentis strain T132-2 contig00068,594,1125,100%,0.0,88.02,95523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYJ010000068.1?report=genbank&log$=nucltop&blast_rank=30&RID=YYXWE4EY014"",""JAMBYJ010000068.1"")"
Pyrenophora tritici-repentis strain AZ35-5 contig00075,594,1125,100%,0.0,88.02,101949,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXS010000075.1?report=genbank&log$=nucltop&blast_rank=31&RID=YYXWE4EY014"",""JAMBXS010000075.1"")"
Pyrenophora tritici-repentis strain T176-2 contig00022,594,1125,100%,0.0,88.02,143989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXR010000022.1?report=genbank&log$=nucltop&blast_rank=32&RID=YYXWE4EY014"",""JAMBXR010000022.1"")"
