Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pyrenophora tritici-repentis strain 5213 5213_00015,3685,3685,100%,0.0,100.00,161347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBI01000015"",""MVBI01000015.1"")"
Pyrenophora tritici-repentis strain 239 239_00028,3685,3685,100%,0.0,100.00,153331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBH01000028"",""MVBH01000028.1"")"
Pyrenophora tritici-repentis strain 11137 11137_00011,3685,3685,100%,0.0,100.00,255779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBG01000011"",""MVBG01000011.1"")"
Pyrenophora tritici-repentis strain 134 chromosome 6 ptr134_contig_00005,3685,3685,100%,0.0,100.00,2687279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBF02000005"",""MVBF02000005.1"")"
Pyrenophora tritici-repentis strain ASC1 contig00077,3685,3685,100%,0.0,100.00,95365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYY010000077.1?report=genbank&log$=nucltop&blast_rank=15&RID=SVF4UNY7014"",""JAMBYY010000077.1"")"
Pyrenophora tritici-repentis strain I-33-1 contig00556,3685,3685,100%,0.0,100.00,11365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYX010000556.1?report=genbank&log$=nucltop&blast_rank=16&RID=SVF4UNY7014"",""JAMBYX010000556.1"")"
Pyrenophora tritici-repentis strain L3-1 contig00090,3685,3685,100%,0.0,100.00,95368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYW010000090.1?report=genbank&log$=nucltop&blast_rank=17&RID=SVF4UNY7014"",""JAMBYW010000090.1"")"
Pyrenophora tritici-repentis strain L4-1 contig00080,3685,3685,100%,0.0,100.00,95350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYV010000080.1?report=genbank&log$=nucltop&blast_rank=18&RID=SVF4UNY7014"",""JAMBYV010000080.1"")"
Pyrenophora tritici-repentis strain SW20-7 contig00087,3685,3685,100%,0.0,100.00,95345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYU010000087.1?report=genbank&log$=nucltop&blast_rank=19&RID=SVF4UNY7014"",""JAMBYU010000087.1"")"
Pyrenophora tritici-repentis strain SW2-1 contig00017,3685,3685,100%,0.0,100.00,196037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYT010000017.1?report=genbank&log$=nucltop&blast_rank=20&RID=SVF4UNY7014"",""JAMBYT010000017.1"")"
